example_id                                             | status | run_time        |
./spec/cmdx/result_spec.rb[1:8:2]                      | passed | 0.00006 seconds |
./spec/cmdx/retry_strategy_spec.rb[1:1:1]              | passed | 0.00004 seconds |
./spec/cmdx/retry_strategy_spec.rb[1:2:1]              | passed | 0.00005 seconds |
./spec/cmdx/retry_strategy_spec.rb[1:3:1]              | passed | 0.03065 seconds |
./spec/cmdx/retry_strategy_spec.rb[1:3:2]              | passed | 0.00004 seconds |
./spec/cmdx/runtime_spec.rb[1:1:1]                     | passed | 0.00013 seconds |
./spec/cmdx/runtime_spec.rb[1:1:2]                     | passed | 0.00007 seconds |
./spec/cmdx/runtime_spec.rb[1:1:3]                     | passed | 0.00007 seconds |
./spec/cmdx/runtime_spec.rb[1:1:4]                     | passed | 0.0001 seconds  |
./spec/cmdx/runtime_spec.rb[1:1:5]                     | passed | 0.00007 seconds |
./spec/cmdx/runtime_spec.rb[1:1:6]                     | passed | 0.00024 seconds |
./spec/cmdx/runtime_spec.rb[1:1:7]                     | passed | 0.00029 seconds |
./spec/cmdx/runtime_spec.rb[1:1:8]                     | passed | 0.00006 seconds |
./spec/cmdx/settings_spec.rb[1:1:1]                    | passed | 0.00005 seconds |
./spec/cmdx/settings_spec.rb[1:2:1]                    | passed | 0.00004 seconds |
./spec/cmdx/settings_spec.rb[1:3:1]                    | passed | 0.00004 seconds |
./spec/cmdx/settings_spec.rb[1:4:1]                    | passed | 0.00005 seconds |
./spec/cmdx/settings_spec.rb[1:5:1]                    | passed | 0.00003 seconds |
./spec/cmdx/settings_spec.rb[1:5:2]                    | passed | 0.00004 seconds |
./spec/cmdx/settings_spec.rb[1:6:1]                    | passed | 0.00004 seconds |
./spec/cmdx/settings_spec.rb[1:6:2]                    | passed | 0.00004 seconds |
./spec/cmdx/signals_spec.rb[1:1:1]                     | passed | 0.00006 seconds |
./spec/cmdx/signals_spec.rb[1:1:2]                     | passed | 0.00004 seconds |
./spec/cmdx/signals_spec.rb[1:2:1]                     | passed | 0.00005 seconds |
./spec/cmdx/signals_spec.rb[1:2:2]                     | passed | 0.00004 seconds |
