name,type,path
backtrace_cleaner,Attribute,CMDx/Configuration.md#attribute-i-backtrace_cleaner
callbacks,Attribute,CMDx/Configuration.md#attribute-i-callbacks
coercions,Attribute,CMDx/Configuration.md#attribute-i-coercions
exception_handler,Attribute,CMDx/Configuration.md#attribute-i-exception_handler
logger,Attribute,CMDx/Configuration.md#attribute-i-logger
middlewares,Attribute,CMDx/Configuration.md#attribute-i-middlewares
rollback_on,Attribute,CMDx/Configuration.md#attribute-i-rollback_on
task_breakpoints,Attribute,CMDx/Configuration.md#attribute-i-task_breakpoints
validators,Attribute,CMDx/Configuration.md#attribute-i-validators
workflow_breakpoints,Attribute,CMDx/Configuration.md#attribute-i-workflow_breakpoints
CMDx::AttributeValue,Class,CMDx/AttributeValue.md
CMDx::AttributeValue.generate,Method,CMDx/AttributeValue.md#method-i-generate
CMDx::AttributeValue.initialize,Method,CMDx/AttributeValue.md#method-i-initialize
CMDx::AttributeValue.validate,Method,CMDx/AttributeValue.md#method-i-validate
CMDx::AttributeValue.value,Method,CMDx/AttributeValue.md#method-i-value
attribute,Attribute,CMDx/AttributeValue.md#attribute-i-attribute
CMDx::CallbackRegistry,Class,CMDx/CallbackRegistry.md
CMDx::CallbackRegistry.deregister,Method,CMDx/CallbackRegistry.md#method-i-deregister
CMDx::CallbackRegistry.dup,Method,CMDx/CallbackRegistry.md#method-i-dup
CMDx::CallbackRegistry.initialize,Method,CMDx/CallbackRegistry.md#method-i-initialize
CMDx::CallbackRegistry.invoke,Method,CMDx/CallbackRegistry.md#method-i-invoke
CMDx::CallbackRegistry.register,Method,CMDx/CallbackRegistry.md#method-i-register
registry,Attribute,CMDx/CallbackRegistry.md#attribute-i-registry
CMDx::CoercionRegistry,Class,CMDx/CoercionRegistry.md
CMDx::CoercionRegistry.coerce,Method,CMDx/CoercionRegistry.md#method-i-coerce
CMDx::CoercionRegistry.deregister,Method,CMDx/CoercionRegistry.md#method-i-deregister
CMDx::CoercionRegistry.dup,Method,CMDx/CoercionRegistry.md#method-i-dup
CMDx::CoercionRegistry.initialize,Method,CMDx/CoercionRegistry.md#method-i-initialize
CMDx::CoercionRegistry.register,Method,CMDx/CoercionRegistry.md#method-i-register
registry,Attribute,CMDx/CoercionRegistry.md#attribute-i-registry
CMDx::AttributeRegistry,Class,CMDx/AttributeRegistry.md
CMDx::AttributeRegistry.define_and_verify,Method,CMDx/AttributeRegistry.md#method-i-define_and_verify
CMDx::AttributeRegistry.deregister,Method,CMDx/AttributeRegistry.md#method-i-deregister
CMDx::AttributeRegistry.dup,Method,CMDx/AttributeRegistry.md#method-i-dup
CMDx::AttributeRegistry.initialize,Method,CMDx/AttributeRegistry.md#method-i-initialize
CMDx::AttributeRegistry.register,Method,CMDx/AttributeRegistry.md#method-i-register
registry,Attribute,CMDx/AttributeRegistry.md#attribute-i-registry
CMDx::LogFormatters::Raw,Class,CMDx/LogFormatters/Raw.md
CMDx::LogFormatters::Raw.call,Method,CMDx/LogFormatters/Raw.md#method-i-call
CMDx::ValidatorRegistry,Class,CMDx/ValidatorRegistry.md
CMDx::ValidatorRegistry.deregister,Method,CMDx/ValidatorRegistry.md#method-i-deregister
CMDx::ValidatorRegistry.dup,Method,CMDx/ValidatorRegistry.md#method-i-dup
CMDx::ValidatorRegistry.initialize,Method,CMDx/ValidatorRegistry.md#method-i-initialize
CMDx::ValidatorRegistry.register,Method,CMDx/ValidatorRegistry.md#method-i-register
CMDx::ValidatorRegistry.validate,Method,CMDx/ValidatorRegistry.md#method-i-validate
registry,Attribute,CMDx/ValidatorRegistry.md#attribute-i-registry
CMDx::LogFormatters::JSON,Class,CMDx/LogFormatters/JSON.md
CMDx::LogFormatters::JSON.call,Method,CMDx/LogFormatters/JSON.md#method-i-call
CMDx::LogFormatters::Line,Class,CMDx/LogFormatters/Line.md
CMDx::LogFormatters::Line.call,Method,CMDx/LogFormatters/Line.md#method-i-call
CMDx::MiddlewareRegistry,Class,CMDx/MiddlewareRegistry.md
